waterpoint_name,waterpoint_type,latitude,longitude,date_sample_collected,date_sample_analyzed,date_results_received,lab_sample_no,ph_value,ph_within_mw_standards,conductivity,conductivity_within_mw_standards,tds_mg_l,tds_within_standards,carbonate_mg_l,carbonate_within_standards,bicarbonate_mg_l,bicarbonate_within_standards,chloride_mg_l,chloride_within_standards,sulphate_mg_l,sulphate_within_standards,nitrate_mg_l,nitrate_within_standards,fluoride_mg_l,fluoride_within_standards,sodium_mg_l,sodium_within_standards,potassium_mg_l,potassium_within_standards,calcium_mg_l,calcium_within_standards,magnesium_mg_l,magnesium_within_standards,iron_mg_l,iron_within_standards,manganese_mg_l,manganese_within_standards,hardness_mg_l,hardness_within_standards,alkalinity_mg_l,alkalinity_within_standards,arsenic,arsenic_within_standards,turbidity_ntu,turbidity_within_standards,suspended_solids,suspended_within_standards,faecal_coli_count,faecal_coli_within_standards,faecal_strep_count,faecal_strep_within_standards,comments
Khaoleya borehole 4,Borehole or tubewell,-15.92187567,35.31535983,2/12/2019,NA,3/13/2019,19-072,6.52,Yes,658,Yes,330,Yes,0,Yes,241,Yes,79,Yes,5.1,Yes,0.8,Yes,NA,NA,40,Yes,5.8,Yes,57.6,Yes,16.5,Yes,0.01,Yes,NA,NA,212,Yes,198,Yes,NA,NA,0.1,Yes,NA,NA,0,Yes,0,Yes,Water quality within Government standards.
Chapenda village borehole,Borehole or tubewell,-15.9854106,34.4785667,12/11/2017,NA,2/5/2018,NA,7.2,Yes,1350,NA,810,NA,0,NA,622,NA,82.7,NA,38.8,NA,0.986,NA,-9,NA,63,NA,2.8,NA,124,NA,52.6,NA,0.041,NA,NA,NA,526,NA,510,NA,NA,NA,0.9,NA,0.1,NA,NA,NA,NA,NA,NA
Kunthete 2,Borehole or tubewell,-14.0945666,34.0838433,7/2/2019,7/3/2019,7/3/2019,NA,6.4,Yes,0.44,Yes,0.27,Yes,0,N/A,217.2,N/A,16.3,Yes,66.5,Yes,0.06,Yes,NA,NA,19.8,Yes,1,N/A,57.6,Yes,54.4,Yes,NA,NA,NA,NA,NA,NA,NA,NA,0,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Ionic Balance error using milliequivalence = 22.86%.
Kukachela,Protected spring,-14.0722809,34.0755042,7/2/2019,7/3/2019,7/3/2019,NA,6.31,Yes,0.16,Yes,0.08,Yes,0,N/A,83,N/A,31.8,Yes,1.2,Yes,0.03,Yes,NA,NA,41,Yes,0.6,N/A,27.2,Yes,13.6,Yes,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ionic Balance Error in Milliequivalence = 19.63%.
Chimwaye 1 borehole ,Borehole or tubewell,-14.0605236,34.0489714,7/2/2019,7/3/2019,7/3/2019,NA,7.38,Yes,0.62,Yes,0.31,Yes,0,N/A,200.1,N/A,22.7,Yes,6.2,Yes,0.46,Yes,NA,NA,17.9,Yes,2.5,N/A,73.6,Yes,30.1,Yes,NA,NA,NA,NA,NA,NA,NA,NA,0,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Ionic Balance Error in Milliequivalance = 14.72%.
Mwali ,Borehole or tubewell,-14.0687141,34.0193617,7/2/2019,7/3/2019,7/3/2019,NA,6.95,Yes,0.76,Yes,0.38,Yes,0,N/A,317.2,N/A,37.2,Yes,3.9,Yes,0.64,Yes,NA,NA,28,Yes,1.9,N/A,116.8,Yes,37.9,Yes,NA,NA,NA,NA,NA,NA,NA,NA,0,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Ionic Balance Error in Milliequivalence = 26.42%.
Gonondo 2,Borehole or tubewell,-14.0500933,34.008235,7/2/2019,7/3/2019,7/3/2019,NA,7.02,Yes,1.02,Yes,0.51,Yes,12,N/A,434.3,N/A,17.2,Yes,72,Yes,0.19,Yes,NA,NA,32.7,Yes,1.9,N/A,123.2,Yes,71,Yes,NA,NA,NA,NA,NA,NA,NA,NA,0,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Ionic Balance Error in Milliequivalence = 15.04%.
Malaza waterpoint ,Borehole or tubewell,-14.079983,34.0343682,6/19/2019,6/21/2019,6/21/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matuta ,Protected dug well,-14.0400613,34.0348849,7/2/2019,7/3/2019,7/3/2019,NA,7,Yes,0.89,Yes,0.45,Yes,7.2,N/A,375.8,N/A,14.5,Yes,46.5,Yes,0.42,Yes,NA,NA,41.3,Yes,0.8,N/A,126.4,Yes,50.5,Yes,NA,NA,NA,NA,NA,NA,NA,NA,0,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Ionic Balance Error in Milliequivalence = 19.57
Macheka school borehole ,Borehole or tubewell,-15.6189497,34.9122513,12/12/2017,NA,2/5/2018,NA,8.2,Yes,701,NA,427,NA,6,NA,352,NA,23.2,NA,18.6,NA,0.432,NA,-9,NA,20,NA,3.9,NA,79.3,NA,25.6,NA,0.37,NA,NA,NA,303,NA,299,NA,NA,NA,0.1,NA,0.1,NA,NA,NA,NA,NA,NA
Likovo Village Borehole,Borehole or tubewell,-15.8211295,35.2171554,2/12/2019,NA,3/13/2019,19-070,6.29,Yes,677,Yes,340,Yes,0,Yes,223,Yes,89,Yes,12.2,Yes,0.52,Yes,NA,NA,50,Yes,5.1,Yes,40,Yes,23.2,Yes,0.01,Yes,NA,NA,195,Yes,183,Yes,NA,NA,0.1,Yes,NA,NA,0,Yes,0,Yes,Water quality within Government standards.
Kaliati Village Borehole,Borehole or tubewell,-15.78798699,35.24804888,2/11/2019,NA,3/13/2019,19-058,6.83,Yes,660,Yes,331,Yes,0,Yes,117.9,Yes,106,Yes,6.9,Yes,0.4,Yes,NA,NA,60,Yes,4.5,Yes,42.4,Yes,12.7,Yes,0.01,Yes,NA,NA,158,Yes,146,Yes,NA,NA,0.2,Yes,NA,NA,0,Yes,0,Yes,Water quality within Government standards.
Jonasi,Borehole or tubewell,-15.7681317,35.248735,2/12/2019,NA,3/13/2019,19-069,6.24,Yes,497,Yes,249,Yes,0,Yes,237,Yes,28,Yes,14.9,Yes,0.85,Yes,NA,NA,10,Yes,4.5,Yes,56.8,Yes,17.5,Yes,0.01,Yes,NA,NA,214,Yes,194,Yes,NA,NA,0.1,Yes,NA,NA,0,Yes,0,Yes,Water quality within Government standards.
Nangwinya Borehole,Borehole or tubewell,-15.82110291,35.25589012,2/11/2019,NA,3/13/2019,19-061,8.1,Yes,1282,Yes,644,Yes,0,Yes,285,Yes,231,Yes,14.9,Yes,1.2,Yes,NA,NA,150,Yes,1.8,Yes,75,Yes,11.2,Yes,0.01,Yes,NA,NA,233,Yes,234,Yes,NA,NA,0.8,Yes,NA,NA,160,No,18,Yes,"Feacal ecoli count per 100ml is 160 this is above the government threshold of 50/100ml, it is suggested that this borehole is chlorinated.
All other water quality indicators tested are within government standards."
Sinira ,Borehole or tubewell,-14.087653,34.0503321,7/2/2019,7/3/2019,7/3/2019,NA,6.37,Yes,0.76,Yes,0.38,Yes,9.6,N/A,297.7,N/A,8.2,Yes,8,Yes,0.3,Yes,NA,NA,12.9,Yes,2,N/A,97.6,Yes,39.9,Yes,NA,NA,NA,NA,NA,NA,NA,NA,0,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Ionic Balance Error in Milliequivalence = 20.13%
Chimkanda borehole,Borehole or tubewell,-14.0170268,33.970902,7/5/2019,7/10/2019,7/10/2019,1,6.61,Yes,4.43,No,2.2,No,0,N/A,5,N/A,4.4,Yes,0.9,Yes,0.04,Yes,NA,NA,11.8,Yes,1,N/A,88,Yes,19.4,Yes,2.15,Yes,0.256,Yes,NA,NA,NA,NA,0,Yes,10,Yes,NA,NA,NA,NA,NA,NA,Pre chemical rehabilitation. 5th July 2019.
Nsolomba  borehole ,Borehole or tubewell,-15.886562,35.2645946,2/12/2019,NA,3/13/2019,19-074,6.59,Yes,728,Yes,365,Yes,0,NA,285,Yes,81,Yes,4.3,Yes,0.26,Yes,NA,NA,40,Yes,5,Yes,63.2,Yes,22.4,Yes,0.02,Yes,NA,NA,250,Yes,234,Yes,NA,NA,0.2,Yes,NA,NA,0,Yes,0,Yes,Water quality within Government standards.
Magreta borehole 1,Borehole or tubewell,-15.802125,35.2573317,2/11/2019,NA,3/13/2019,19-059,6.65,Yes,528,Yes,265,Yes,0,Yes,228,Yes,48,Yes,6,Yes,0.01,Yes,NA,NA,30,Yes,0.6,Yes,48,Yes,16.5,Yes,0.01,Yes,NA,NA,188,Yes,187,Yes,NA,NA,0.8,Yes,NA,NA,0,Yes,0,Yes,Water quality within Government standards.
Zembereko borehole 1,Borehole or tubewell,-15.8257731,35.2231163,2/11/2019,NA,3/13/2019,19-065,8.2,Yes,1690,Yes,851,Yes,0,Yes,580,Yes,218,Yes,17.7,Yes,9.8,Yes,NA,NA,140,Yes,2.5,Yes,129,Yes,37.4,Yes,0.04,Yes,NA,NA,476,Yes,475,Yes,NA,NA,4,Yes,NA,NA,21,Yes,0,Yes,"The water sampled has a Total Hardness of 476mg/l  this value is very high, although there are no known health effects from consuming very hard water it can cause other issues such as more soap required for washing laundry, scales on kettles and scales on boilers.
The Water quality is within Government standards."
Mpoto borehole 1,Borehole or tubewell,-15.8249667,35.2370317,2/11/2019,NA,3/13/2019,19-062,8.2,Yes,969,Yes,486,Yes,0,Yes,280,Yes,148,Yes,10.9,Yes,0.02,Yes,NA,NA,90,Yes,1.7,Yes,57,Yes,24,Yes,0,Yes,NA,NA,241,Yes,230,Yes,NA,NA,0.4,Yes,NA,NA,0,Yes,0,Yes,Water quality within Government standards
Time Village  borehole ,Borehole or tubewell,-15.8148194,35.23148,2/11/2019,NA,3/13/2019,19-063,7.83,Yes,1619,Yes,815,Yes,0,Yes,410,Yes,277,Yes,12.8,Yes,0.12,Yes,NA,NA,170,Yes,1,Yes,95,Yes,25.8,Yes,0.01,Yes,NA,NA,347,Yes,336,Yes,NA,NA,0.5,Yes,NA,NA,5,Yes,0,Yes,Water quality within Government Standards.
Magombo village borehole,Borehole or tubewell,-15.812019,35.2697371,2/12/2019,NA,3/13/2019,19-075,6.61,Yes,555,NA,278,NA,0,NA,290,NA,25,NA,9.9,NA,0.74,NA,NA,NA,12,NA,5.2,NA,61.6,NA,21.9,NA,0.02,NA,NA,NA,244,NA,234,NA,NA,NA,0.1,NA,NA,NA,0,NA,0,NA,Water quality within Government standards.
Kumano borehole 1,Borehole or tubewell,-15.8090503,35.25701354,2/11/2019,NA,3/13/2019,19-060,8.21,Yes,716,Yes,359,Yes,0,Yes,203,Yes,114,Yes,3.9,Yes,0.7,Yes,NA,NA,150,Yes,1.8,Yes,75,Yes,11.2,Yes,0.01,Yes,NA,NA,168,Yes,166,Yes,NA,NA,0.8,Yes,NA,NA,0,Yes,0,Yes,Water Quality within Government standards.
